,marketcap
1402,11563700224
1403,11533256601
1404,11526345728
1405,11520636524
1406,11506479104
1407,11498940416
1408,11494939648
1409,11453495387
1410,11451271168
1411,11393797120
1412,11390723072
1413,11384535401
1414,11374605312
1415,11371346944
1416,11367663616
1417,11317721819
1418,11310057138
1419,11305976832
1420,11289454592
1421,11278139296
1422,11258945536
1423,11240710907
1424,11228726080
1425,11228644352
1426,11216020480
1427,11208555520
1428,11193734837
1429,11192739840
1430,11188093415
1431,11179840512
1432,11150608384
1433,11141694464
1434,11137816576
1435,11134551040
1436,11133351950
1437,11132620800
1438,11124329472
1439,11123489584
1440,11122555904
1441,11120824038
1442,11084147308
1443,11070401536
1444,11053603829
1445,11051258880
1446,11029988352
1447,11026688941
1448,11008446371
1449,10997282199
1450,10991487899
1451,10977560953
1452,10940731871
1453,10931599360
1454,10916617216
1455,10915250159
1456,10909032770
1457,10902213723
1458,10897975296
1459,10874768384
1460,10869900608
1461,10863931392
1462,10860884992
1463,10859026432
1464,10855324248
1465,10842315372
1466,10833852416
1467,10827917515
1468,10822770089
1469,10806869540
1470,10804768768
1471,10786002833
1472,10778086340
1473,10774371329
1474,10769999872
1475,10734659584
1476,10729680993
1477,10716153856
1478,10711675126
1479,10702998394
1480,10689979470
1481,10634349098
1482,10634277888
1483,10621434131
1484,10611661824
1485,10608162816
1486,10598375424
1487,10595356672
1488,10591775744
1489,10584255036
1490,10578052096
1491,10571127808
1492,10551749632
1493,10546183520
1494,10515307759
1495,10514900992
1496,10482193408
1497,10480610304
1498,10479641147
1499,10474988544
1500,10465732082
1501,10456007680
1502,10429093620
1503,10426530505
1504,10421546419
1505,10410894336
1506,10410042428
1507,10405239031
1508,10401266688
1509,10400195584
1510,10392154055
1511,10382165201
1512,10374551734
1513,10360061952
1514,10348572672
1515,10347241472
1516,10340280925
1517,10330344448
1518,10313961935
1519,10301236224
1520,10300032000
1521,10237690308
1522,10233198592
1523,10231206912
1524,10227613696
1525,10224744448
1526,10222643887
1527,10209913295
1528,10207424512
1529,10194380800
1530,10188312576
1531,10186247168
1532,10174745138
1533,10165226496
1534,10163332096
1535,10161321984
1536,10147463168
1537,10142702561
1538,10132512768
1539,10116934982
1540,10096191488
1541,10093294592
1542,10093221888
1543,10090346496
1544,10083520740
1545,10067191145
1546,10064976896
1547,10031771648
1548,10031733760
