,Smoking
757,152272.6321
758,156474.0542
759,162500.3083
760,163728.129
761,164171.6519
762,164836.8631
763,164437.7843
764,166328.4812
765,167205.1689
766,166350.9447
767,166124.7022
768,165912.192
769,166902.1839
770,166497.1657
771,162455.2442
772,161761.919
773,161527.6945
774,161517.6054
775,162043.9644
776,162945.6736
777,163605.3602
778,162362.2851
779,161992.6782
780,160754.3752
781,161535.4931
782,164700.3041
783,167657.2694
784,196.3184481
785,196.5330593
786,195.2878061
787,192.8473026
788,191.6499371
789,190.5505495
790,189.8617378
791,188.2034567
792,188.5087401
793,188.5427854
794,190.684692
795,191.7052944
796,193.6407803
797,196.2153932
798,198.5221916
799,201.2313368
800,204.7687337
801,209.2485973
802,214.0000476
803,219.9806264
804,226.9425963
805,237.2719528
806,246.164441
807,254.1176861
808,261.4007189
809,270.3754335
810,278.4139933
811,286.4040863
812,24469.59964
813,23861.43063
814,24597.81962
815,24872.6753
816,25550.31126
817,25669.96722
818,25441.41201
819,26225.11504
820,25337.2602
821,23775.0006
822,23874.60785
823,23388.30613
824,23053.96938
825,22829.87507
826,22795.34027
827,23173.81846
828,23256.77894
829,22646.91461
830,22146.18918
831,21850.55795
832,21657.88846
833,21473.18388
834,20851.53445
835,20440.35615
836,21017.06953
837,20510.98687
838,20434.19549
839,20300.55028
840,1951.522724
841,1971.407016
842,2003.533047
843,2050.977776
844,2095.893814
845,2142.086454
846,2168.715823
847,2213.93535
848,2258.12813
849,2296.822262
850,2353.989919
851,2370.061964
852,2399.481007
853,2427.436909
854,2468.359241
855,2513.133211
856,2586.367588
857,2665.832169
858,2743.658287
859,2836.453841
860,2921.175314
861,2983.435795
862,3084.112927
863,3156.602065
864,3218.351036
865,3269.961382
866,3311.203804
867,3335.304228
868,2557.991709
869,2565.776407
870,2551.143249
871,2596.761169
872,2620.071356
873,2656.688746
874,2656.003486
875,2631.583671
876,2601.090961
877,2551.244868
878,2539.865068
879,2450.445831
880,2393.613301
881,2349.30502
882,2329.907714
883,2326.998644
884,2305.523902
885,2294.750017
886,2296.640523
887,2299.745376
888,2335.088148
889,2394.25928
890,2451.518501
891,2503.006603
892,2553.585067
893,2608.874996
894,2660.827874
895,2735.950248
896,8913.851975
897,8851.99232
898,8839.67195
899,8904.119221
900,8973.344068
901,9071.856571
902,9115.417135
903,9198.89415
904,9317.139899
905,9421.432294
906,9558.804816
907,9640.63246
908,9734.03781
909,9854.429597
910,9993.388107
911,10122.2185
912,10253.27713
913,10441.04918
914,10634.16537
915,10841.44064
916,11055.89038
917,11274.24742
918,11475.86053
919,11699.02793
920,11934.14894
921,12179.41838
922,12431.31345
923,12676.72666
924,3001.839389
925,3089.161599
926,3201.64545
927,3351.81533
928,3463.136497
929,3588.358357
930,3721.624456
931,3872.437148
932,4019.820622
933,4157.628898
934,4332.81645
935,4421.609561
936,4492.84609
937,4580.809283
938,4676.720536
939,4790.936982
940,4895.21412
941,4982.530997
942,5055.846117
943,5118.074984
944,5169.415721
945,5192.799456
946,5216.446081
947,5224.989571
948,5225.055023
949,5235.887443
950,5245.387483
951,5243.707323
952,55147.66053
953,54618.3919
954,54331.61655
955,54763.10012
956,54253.76401
