,Count
1157,8550333
1158,94636
1159,39200
1160,4869716
1161,74830
1162,651868
1163,3597900
1164,2346015
1165,4280923
1166,4258732
1167,10147935
1168,100267062
1169,50141
1170,499123324
1171,2877300
1172,24954873
1173,8375790
1174,192286
1175,2563000
1176,52112350
1177,1756511
1178,1173606
1179,98883000
1180,11841920
1181,9530173
1182,2573300
1183,6467197
1184,46429
1185,49214
1186,28704674
1187,472037
1188,2382594
1189,2092375
1190,1245102
1191,1733306
1192,96134
1193,18649
1194,11110820
1195,922306
1196,2971450
1197,331500
1198,2265919
1199,203228
1200,4468
1201,14230163
1202,23282
1203,2825000
1204,5769218
1205,102718
1206,44123853
1207,17284
1208,1592433
1209,5568484
1210,318800
1211,24259359
1212,526327
1213,1107124
1214,11022
1215,8039215
1216,985910
1217,753000
1218,4134460
1219,9526558
1220,716584
1221,90500
1222,3914117
1223,50127921
1224,2068381
1225,12294732
1226,3723168
1227,10972912
1228,5856
1229,2628400
1230,625009
1231,50917975
1232,1314677
1233,11711392
1234,30909988
1235,11003
1236,2485437
1237,31444950
1238,2594000
1239,12547525
1240,8998595
1241,2172306
1242,1014638
1243,93438
1244,73633
1245,19031576
1246,126745000
1247,3235531
1248,4843635
1249,8770097
1250,3682876
1251,1886900
1252,136816
1253,2508219
1254,3201313
1255,17513
1256,3068459
1257,3133150
1258,64892
1259,328936
1260,4370983
1261,1649160
1262,7733853
1263,373919
1264,47500
1265,5373137
1266,5823
1267,3309586
1268,1708630
1269,31822660
1270,2487976
1271,1892599
1272,519686
1273,74345
1274,911737
1275,4547941
1276,30972994
1277,5386
1278,11634832
1279,7986066
1280,45264548
1281,2694536
1282,194303000
1283,10116870
1284,86011
1285,9692278
1286,8830
1287,43500
1288,37858951
1289,74270
1290,127054
1291,1078000
1292,5727751
1293,19384841
1294,3570464
1295,4471177
1296,57715
1297,10174836
1298,5781214
1299,1914573
1300,19647
1301,159976
1302,22494035
1303,2276034
1304,24462
1305,59915
1306,11651000
1307,7322066
1308,4721523
1309,3170490
1310,9527807
1311,2682159
1312,5256363
1313,57157654
1314,8258057
1315,191780
1316,146382
1317,3586636
1318,8696496
1319,109347
1320,51000
1321,4122517
1322,85696505
1323,236088
1324,107274
1325,261668
1326,571964
1327,1673019
1328,20048000
1329,5918002
1330,116227
1331,9152844
1332,735400000
1333,4383728
1334,5909882
1335,17862049
1336,1186785
1337,19279740
1338,211478
1339,238655
1340,1645083
1341,4648367
1342,8115487
1343,136682
1344,8441
1345,585309
1346,9821040
1347,76600311
1348,122866
1349,66311
1350,4797381
1351,3999796
1352,12902627
1353,5399422
1354,31237600
1355,1178875
1356,32283194
1357,1308597
1358,25641044
1359,4580869
1360,476404
1361,50330262
1362,37278
1363,54192
1364,543112
1365,54648500
1366,3966700
1367,7941412
1368,26633
1369,3870203
1370,415478
1371,658994
1372,283506
1373,8613651
1374,94934
1375,40500
1376,5013153
1377,76607
1378,664521
1379,3629900
1380,2414803
1381,4310701
1382,4341318
1383,10178653
1384,103025426
1385,51049
1386,509631500
1387,2888800
1388,25624373
1389,8651162
1390,195570
1391,2629000
1392,52519000
1393,1780518
1394,1267062
1395,99790000
1396,12132559
1397,9851444
1398,2655300
1399,6585035
1400,47434
1401,48358
1402,29435571
1403,523166
1404,2439196
1405,2136617
1406,1273464
1407,1803683
1408,97715
1409,19152
1410,11380670
1411,941794
1412,3008050
1413,333895
1414,2283217
1415,213192
1416,4685
1417,14595350
1418,23305
1419,2873000
1420,5918595
1421,105136
1422,45519737
1423,17842
1424,1617795
1425,5635859
1426,315200
1427,24823940
1428,526419
1429,1139961
1430,11344
1431,8225921
1432,1016100
1433,768813
1434,4240429
1435,9790084
1436,734867
1437,93500
1438,4027963
1439,51217973
1440,2131976
1441,12456251
1442,3753012
1443,11172529
1444,6067
1445,2675900
1446,642001
1447,52260189
1448,1353842
1449,12045787
1450,31864182
1451,11179
1452,2539674
1453,31681000
1454,2624995
1455,12864954
1456,8930990
1457,2230741
1458,1043386
1459,96716
1460,79846
1461,19215450
1462,127468000
1463,3321679
1464,5015357
1465,9047798
1466,3789383
1467,1934400
1468,140991
1469,2551578
1470,3293952
1471,17918
1472,3143648
1473,3199343
1474,66183
1475,338158
1476,4411666
1477,1669905
1478,7807797
1479,383826
1480,48699
1481,5553246
1482,5791
1483,3372189
1484,1774029
1485,32789130
1486,2574511
1487,1952141
1488,529327
1489,76771
1490,919217
1491,4641000
1492,31717507
1493,5438
1494,11985440
1495,8263439
1496,45684979
1497,2722875
1498,196560000
1499,10493436
1500,86903
1501,10022592
1502,9025
1503,46200
1504,38958048
1505,76395
1506,130673
1507,1106000
1508,5816247
1509,19888250
1510,3681955
1511,4623351
1512,58055
1513,10399926
1514,5774243
1515,1965598
1516,20758
1517,169771
1518,22828869
1519,2339127
1520,25248
1521,61241
1522,11799000
1523,7376998
1524,4843868
1525,3253218
1526,9580991
1527,2735307
1528,5343019
1529,59034249
1530,8310226
1531,196063
1532,152620
1533,3632672
1534,8785648
1535,112692
1536,52000
1537,4208676
1538,88035814
1539,236659
1540,112448
1541,269947
1542,584092
1543,1708302
1544,20412000
1545,5991785
1546,117474
1547,9312095
1548,754550000
1549,4544164
1550,6052420
1551,18378625
1552,1219541
1553,19837510
1554,215897
1555,247527
1556,1696732
1557,4712526
1558,8266380
1559,138140
1560,8522
1561,591308
1562,9852899
1563,76951336
1564,131397
1565,67686
1566,4835354
1567,4123092
1568,13275026
1569,5560012
1570,32056510
1571,1210302
1572,32682947
1573,1318946
1574,26280132
1575,4605744
1576,487981
1577,50775794
1578,37705
1579,56307
1580,554059
1581,54943600
1582,4005800
1583,8132803
1584,27173
1585,3941053
1586,426629
1587,669237
1588,291790
1589,8684088
1590,95020
1591,41900
1592,5160609
1593,78404
1594,675871
1595,3722800
1596,2486415
1597,4338683
1598,4425303
1599,10216604
1600,105865571
1601,52118
1602,520400576
1603,2902450
1604,26317783
1605,8947404
1606,198751
1607,2745000
1608,52900500
1609,1803319
1610,1378998
1611,100725000
1612,12385710
1613,10187478
1614,2736500
1615,6685960
1616,48417
1617,47381
1618,30130983
1619,577164
1620,2496920
1621,2174738
1622,1303035
1623,1878877
1624,99365
1625,19691
1626,11657650
1627,962273
1628,3044400
1629,334995
1630,2301220
1631,223418
1632,4920
1633,14954031
1634,23292
1635,2918000
1636,6073526
1637,107478
1638,46956208
1639,18388
1640,1644943
1641,5706199
1642,311550
1643,25410060
1644,522796
1645,1173191
1646,11721
1647,8417702
1648,1047344
1649,783917
1650,4350452
1651,10046325
1652,753688
1653,96500
1654,4144592
1655,52342233
1656,2197298
1657,12598201
1658,3784539
1659,11382967
1660,6223
1661,2724100
1662,660114
1663,53655789
1664,1393825
1665,12386879
1666,32823968
1667,11326
1668,2596820
1669,31987155
1670,2645674
1671,13222694
1672,8874520
1673,2290798
1674,1071175
1675,99995
1676,86302
1677,19534242
1678,128196000
1679,3420895
1680,5195135
1681,9337657
1682,3899644
1683,1977600
1684,145317
1685,2596805
1686,3387383
1687,18307
1688,3227841
1689,3268405
1690,68047
1691,347660
1692,4449367
1693,1689528
1694,7867931
1695,394757
1696,49911
1697,5740710
1698,5764
1699,3434825
1700,1855442
1701,33778799
1702,2662253
1703,2011764
1704,538909
1705,79029
1706,925235
1707,4740511
1708,32477992
1709,5511
1710,12348189
1711,8550443
1712,46063228
1713,2750086
1714,198712000
1715,10889509
1716,87777
1717,10359745
1718,9222
1719,49100
1720,40072948
1721,78499
1722,134177
1723,1135000
1724,5907874
1725,20406864
1726,3797873
1727,4779827
1728,58386
1729,10637063
1730,5771652
1731,2022272
1732,21890
1733,182627
1734,23168267
1735,2401143
1736,25989
1737,62521
1738,12009000
1739,7415403
1740,4960232
1741,3336927
1742,9618756
1743,2791590
1744,5434041
1745,60918454
1746,8369603
1747,200653
1748,158648
1749,3675454
1750,8874552
1751,116061
1752,53000
1753,4297517
1754,90387079
1755,237241
1756,117898
1757,278734
1758,596947
1759,1744194
1760,20744000
1761,6067714
1762,118726
1763,9468845
1764,774510000
1765,4713135
1766,6201413
1767,18913878
1768,1253760
1769,20393699
1770,220575
1771,256176
1772,1747694
1773,4773902
1774,8413552
1775,140298
1776,8631
1777,598495
1778,9876346
1779,77294314
1780,140462
1781,69040
1782,4864883
1783,4247558
1784,13663583
1785,5725459
1786,32881848
1787,1242635
1788,33113134
1789,1331214
1790,26944390
1791,4626469
1792,498940
1793,51175508
1794,38124
1795,58388
1796,565766
1797,55211700
1798,4042300
1799,8321770
1800,27685
1801,4013055
1802,438603
1803,680432
1804,299413
1805,8740765
1806,94927
1807,43400
1808,5311615
1809,80217
1810,686146
1811,3802700
1812,2560727
1813,4365628
1814,4509813
1815,10255815
1816,108779924
1817,53254
1818,531513824
1819,2915550
1820,27032571
1821,9260682
1822,201488
1823,2803000
1824,53235750
1825,1825879
1826,1500163
1827,101061000
1828,12611426
1829,10539894
1830,2818300
1831,6779787
1832,49363
1833,46397
1834,30838302
1835,632899
1836,2556852
1837,2210772
1838,1333978
1839,1958914
1840,101035
1841,20235
1842,11937600
1843,983685
1844,3078850
1845,335850
1846,2323619
1847,233000
1848,5193
1849,15307273
1850,23304
1851,2960000
1852,6234465
1853,109891
1854,48431972
1855,18961
1856,1672399
1857,5780835
1858,307900
1859,26015248
1860,517481
1861,1207104
1862,12140
1863,8614447
1864,1079580
1865,798413
1866,4464423
1867,10297983
1868,773422
1869,99500
1870,4263927
1871,53506196
1872,2264623
1873,12729721
1874,3816486
1875,11603928
1876,6337
1877,2748100
1878,679595
1879,55102684
1880,1434669
1881,12735486
1882,33795194
1883,11464
1884,2656633
1885,32294655
1886,2662064
1887,13609982
1888,8836650
1889,2351925
1890,1098154
1891,103342
1892,93211
1893,19799831
1894,128928000
1895,3529843
1896,5387828
1897,9639840
1898,4014103
1899,2012000
1900,149881
1901,2644020
1902,3481624
1903,18668
1904,3312742
1905,3340422
1906,70257
1907,356550
1908,4483915
1909,1704546
1910,7912273
1911,406506
1912,51134
1913,5935860
1914,5744
1915,3499362
1916,1945780
1917,34791409
1918,2750928
1919,2071790
1920,548825
1921,81079
1922,930795
1923,4845219
1924,33256464
1925,5597
1926,12725522
1927,8841153
1928,46411810
1929,2774759
1930,200706000
1931,11294672
1932,88662
1933,10702291
1934,9421
1935,55700
1936,41193601
1937,80657
1938,137487
1939,1163000
1940,6001852
1941,20942145
1942,3918872
1943,4941906
1944,58726
1945,10893776
1946,5803254
1947,2081695
1948,23058
1949,203106
1950,23517611
1951,2462928
1952,26703
1953,63550
1954,12263000
1955,7441055
1956,5071927
1957,3413904
1958,9646032
1959,2850661
1960,5528174
1961,62679765
1962,8434172
1963,206043
1964,164268
1965,3717468
1966,8960304
1967,119261
1968,54000
1969,4389246
1970,92746614
1971,237955
1972,123600
1973,287891
1974,611300
1975,1778861
1976,21028000
1977,6136387
1978,119972
1979,9625312
1980,796025000
1981,4897472
1982,6357092
1983,19459816
1984,1289522
1985,20942456
1986,225325
1987,263453
1988,1797893
1989,4833842
1990,8561384
1991,142581
1992,8827
1993,606116
1994,9896580
1995,77909682
1996,149887
1997,70213
1998,4891860
1999,4373124
2000,14061722
2001,5895367
2002,33703139
2003,1276123
2004,33441054
2005,1345249
2006,27652709
2007,4623785
2008,509704
2009,51561836
2010,38570
2011,60145
2012,577646
2013,55441750
2014,4080300
2015,8520015
2016,28166
2017,4084600
2018,451228
2019,692407
2020,304000
2021,8772764
2022,94728
2023,44900
2024,5465512
2025,82040
2026,695745
2027,3863900
2028,2637513
2029,4391490
2030,4593669
2031,10298723
2032,111758563
2033,54376
2034,543084336
2035,2932650
2036,27764924
2037,9585576
2038,203369
2039,2877000
2040,53537950
2041,1849662
2042,1617428
2043,103172000
2044,12824606
2045,10910675
2046,2894800
2047,6880623
2048,50267
2049,45534
2050,31544266
2051,688979
2052,2620434
2053,2250447
2054,1366502
2055,2043818
2056,102597
2057,20766
2058,12214956
2059,1005909
2060,3107321
2061,337500
2062,2343173
2063,240839
2064,5459
2065,15656843
2066,23346
2067,3002000
2068,6401921
2069,112582
2070,49945279
2071,19622
2072,1698144
2073,5861412
2074,304300
2075,26635849
2076,513340
2077,1242214
2078,12574
2079,8816057
2080,1112745
2081,812405
2082,4582198
2083,10549399
2084,794588
2085,104000
2086,4385927
2087,54717039
2088,2334279
2089,12877984
2090,3847707
2091,11834654
2092,6441
2093,2772800
2094,700729
2095,56598144
2096,1476481
2097,13092852
2098,34786305
2099,11618
2100,2718811
2101,32548300
2102,2684150
2103,14010339
2104,8757705
2105,2413396
2106,1124579
2107,106820
2108,100883
2109,20009141
2110,129664000
2111,3643237
2112,5599904
2113,9954410
2114,4133322
