,r_distance
1013,591.478
1014,432.876
1015,2457.16
1016,301.065
1017,1354.2
1018,258.276
1019,651.261
1020,1417.08
1021,485.249
1022,5266.92
1023,388.647
1024,885.895
1025,1264.66
1026,918.754
1027,342.59
1028,3232.07
1029,298.17
1030,1619.05
1031,1525.74
1032,260.862
1033,163.076
1034,513.068
1035,957.531
1036,1253.88
1037,2095.68
1038,694.727
1039,2381.41
1040,1866.4
1041,121.899
1042,271.118
1043,258.186
1044,1471.29
1045,198.63
1046,2704.98
1047,537.265
1048,182.191
1049,1328.085
1050,1304.65
1051,928.771
1052,4821.12
1053,930.657
1054,279.827
1055,304.47
1056,186.897
1057,1928.7
1058,763.094
1059,1486.44
1060,2620.75
1061,188.569
1062,3002.48
1063,583.181
1064,1804.39
1065,1912.98
1066,1163.34
1067,328.068
1068,790.546
1069,1413.95
1070,155.511
1071,456.265
1072,307.719
1073,277.853
1074,234.625
1075,1545.34
1076,1363.45
1077,2275.73
1078,2866.34
1079,798.319
1080,216.801
1081,786.82
1082,1181.22
1083,2609.07
1084,123.74
1085,1054.45
1086,228.294
1087,1287.72
1088,4777.61
1089,1451.94
1090,330.329
1091,313.641
1092,2027.06
1093,4291.44
1094,118.112
1095,104.584
1096,150.619
1097,6945.28
1098,332.727
1099,310.236
1100,296.478
1101,96.4709
1102,2346.08
1103,263.916
1104,487.985
1105,270.196
1106,1356.29
1107,284.956
1108,1954.5
1109,2341.7
1110,490.043
1111,1133.19
1112,273.949
1113,590.803
1114,1098.7014
1115,604.085
1116,1470.56
1117,250.787
1118,1722.75
1119,384.601
1120,2646.86
1121,6326.92
1122,2906.44
1123,358.205
1124,994.744
1125,2480.46
1126,1279.74
1127,3642.74
1128,176.519
1129,1073.154
1130,2036.64
1131,1972.71
1132,458.178
1133,165.965
1134,2968.12
1135,135.909
1136,559.068
1137,1138.02
1138,218.983
1139,749.142
1140,329.032
1141,264.382
1142,1324.93
1143,1855.48
1144,1087.12
1145,500.3015
1146,958.515
1147,1519.86
1148,821.969
1149,581.749
1150,245.55
1151,347.653
1152,1339.78
1153,460.951
1154,1015.65
1155,566.504
1156,702.694
1157,1311.06
1158,240.796
1159,1574.04
1160,613.864
1161,1156.24
1162,629.639
1163,582.0
1164,2035.79
1165,1061.49
1166,1991.89
1167,525.643
1168,641.054
1169,140.914
1170,637.99
1171,298.909
1172,1714.27
1173,1287.78
1174,875.818
1175,2278.86
1176,229.712
1177,1460.07
1178,219.338
1179,637.098
1180,2005.07
1181,304.71
1182,238.215
1183,249.699
1184,2957.96
1185,428.968
1186,1865.52
1187,2759.88
1188,1794.33
1189,1784.48
1190,2307.61
1191,478.227
1192,289.92
1193,939.999
1194,398.925
1195,2148.62
1196,1331.96
1197,1444.02
1198,210.222
1199,132.43
1200,968.242
1201,942.464
1202,271.093
1203,1730.91
1204,411.113
1205,1161.7
1206,342.569
1207,627.5924
1208,1325.1
1209,460.782
1210,372.519
1211,235.588
1212,934.3298
1213,1505.24
1214,1649.06
1215,1128.42
1216,239.046
1217,192.399
1218,215.583
1219,3368.98
1220,366.568
1221,126.7165
1222,890.4555
1223,6984.57
1224,252.739
1225,6388.44
1226,1202.05
1227,447.913
1228,232.598
1229,1227.75
1230,2233.57
1231,3570.37
1232,387.681
1233,348.193
1234,382.253
1235,1124.23
1236,1873.28
1237,179.843
1238,1550.74
1239,1099.38
1240,466.157
1241,510.7325
1242,2994.26
1243,927.151
1244,2140.12
1245,72.8289
1246,1420.26
1247,305.951
1248,285.908
1249,1636.13
1250,377.396
1251,951.233
1252,259.625
1253,1291.66
1254,1125.21
1255,342.087
1256,342.198
1257,3125.4
1258,1754.54
1259,1225.4
1260,1818.01
1261,248.217
1262,642.867
1263,1199.93
1264,474.947
1265,4613.59
1266,390.403
1267,2655.97
1268,174.291
1269,415.142
1270,676.109
1271,526.426
1272,1243.66
1273,530.464
1274,3340.99
1275,1100.06
1276,830.224
1277,121.676
1278,578.123
1279,451.511
1280,470.497
1281,229.214
1282,1034.89
1283,185.639
1284,2789.21
1285,680.02
1286,518.834
1287,1296.8
1288,3920.6
1289,402.864
1290,5006.92
1291,303.224
1292,1573.54
1293,473.944
1294,276.084
1295,366.217
1296,1392.22
1297,405.768
1298,1265.76
1299,299.299
1300,738.504
1301,431.47
1302,1927.95
1303,1223.54
1304,1359.66
1305,462.6
1306,1694.1
1307,711.265
1308,211.444
1309,2178.83
1310,312.548
1311,891.779
1312,368.824
1313,1853.51
1314,432.649
1315,1461.6
1316,2055.15
1317,2900.74
1318,776.221
1319,455.773
1320,462.139
1321,452.726
1322,937.719
1323,676.394
1324,404.436
1325,3393.81
1326,653.79
1327,958.544
1328,1236.08
1329,900.845
1330,475.098
1331,281.553
1332,357.804
1333,803.247
1334,459.298
1335,310.979
1336,866.504
1337,1658.38
1338,2224.74
1339,373.149
1340,6603.92
1341,148.339
1342,2200.36
1343,4577.81
1344,5246.43
1345,1390.3
1346,891.28
1347,888.1193999999999
1348,1770.15
1349,483.628
1350,130.789
1351,347.684
1352,939.192
1353,692.221
1354,426.8
1355,779.961
1356,1007.81
1357,855.416
1358,691.965
1359,1692.84
1360,270.133
1361,1570.09
1362,1250.01
1363,1059.64
1364,4467.91
1365,467.526
1366,147.722
1367,255.124
1368,3713.17
1369,383.535
1370,747.659
1371,232.329
1372,1648.0
1373,1028.98
1374,2011.89
1375,276.872
1376,991.476
1377,364.961
1378,330.399
1379,596.884
1380,1097.91
1381,2834.43
1382,178.648
1383,519.348
1384,1110.2933333333333
1385,432.78
1386,210.447
1387,254.713
1388,367.302
1389,374.145
1390,1436.24
1391,1603.6
1392,392.968
1393,1728.87
1394,2033.59
1395,288.37249999999995
1396,1533.52
1397,587.063
1398,510.949
1399,192.342
1400,309.4465
1401,78.80055
1402,324.963
1403,159.804
1404,1076.25
1405,302.507
1406,511.081
1407,234.484
1408,261.448
1409,781.202
1410,370.415
1411,924.824
1412,1227.06
1413,2484.47
1414,3563.67
1415,1323.28
1416,1883.39
1417,3170.59
1418,2335.08
1419,169.27800000000002
1420,1752.23
1421,459.026
1422,2086.01
1423,637.632
1424,1008.37
1425,278.011
1426,346.391
1427,675.999
1428,2322.16
1429,704.139
1430,741.871
1431,670.698
1432,1483.42
1433,3887.16
1434,464.274
1435,474.092
1436,1191.73
1437,800.196
1438,1075.38
1439,1016.58
1440,938.481
1441,1821.04
1442,1622.26
1443,1218.52
1444,1503.35
1445,1744.725
1446,5374.76
1447,124.431
1448,563.706
1449,122.159
1450,282.009
1451,68.265
1452,250.086
1453,1196.73
1454,421.26
1455,1323.7
1456,1492.54
1457,297.896
1458,110.44
1459,722.814
1460,2677.37
1461,720.672
1462,2199.34
1463,607.828
1464,697.873
1465,1302.32
1466,1404.72
1467,2577.55
1468,1445.85
1469,186.407
1470,1162.08
1471,1834.79
1472,360.813
1473,850.844
1474,1648.6
1475,276.762
1476,261.332
1477,2004.27
1478,318.763
1479,1167.02
1480,1076.95
1481,737.176
1482,566.463
1483,1559.78
1484,1222.76
1485,2134.53
1486,1401.5
1487,515.622
1488,1585.84
1489,823.922
1490,945.126
1491,457.277
1492,2793.37
1493,1183.58
1494,1701.96
1495,1615.48
1496,175.434
