,total_cases
1239,4523129.0
1240,4532627.0
1241,4548225.0
1242,4557665.0
1243,4565640.0
1244,4571864.0
1245,4578772.0
1246,4586043.0
1247,4595670.0
1248,4608947.0
1249,4618317.0
1250,4624709.0
1251,4634434.0
1252,4641423.0
1253,4648679.0
1254,4657710.0
1255,4666348.0
1256,4674516.0
1257,4681507.0
1258,4688660.0
1259,4695989.0
1260,4706665.0
1261,4716849.0
1262,4728357.0
1263,4738523.0
1264,4748511.0
1265,4756650.0
1266,4765148.0
1267,4770971.0
1268,4785177.0
1269,4796870.0
1270,4809318.0
1271,4821185.0
1272,4827149.0
1273,4840335.0
1274,4850455.0
1275,4864277.0
1276,4879108.0
1277,4894045.0
1278,4906753.0
1279,4919482.0
1280,4930888.0
1281,4943882.0
1282,4962399.0
1283,4984142.0
1284,5004040.0
1285,5024899.0
1286,5041812.0
1287,5057434.0
1288,5077285.0
1289,5103584.0
1290,5130862.0
1291,5154967.0
1292,5178707.0
1293,5201715.0
1294,5225514.0
1295,5248270.0
1296,5281149.0
1297,5315211.0
1298,5350294.0
1299,5384903.0
1300,5412413.0
1301,5437341.0
1302,5465715.0
1303,5504517.0
1304,5547435.0
1305,5590594.0
1306,5634070.0
1307,5665813.0
1308,5694101.0
1309,5730971.0
1310,5775395.0
1311,5822709.0
1312,5869318.0
1313,5914784.0
1314,5950237.0
1315,5984742.0
1316,6023217.0
1317,6067426.0
1318,6116036.0
1319,6157434.0
1320,6196482.0
1321,6232495.0
1322,6262730.0
1323,6296298.0
1324,6329697.0
1325,6368329.0
1326,6399995.0
1327,6435571.0
1328,6468603.0
1329,6502405.0
1330,6533847.0
1331,6582471.0
1332,6630107.0
1333,6673130.0
1334,6709345.0
1335,6743555.0
1336,6777721.0
1337,6810425.0
1338,6855606.0
1339,6903415.0
1340,6945410.0
1341,6981729.0
1342,7015790.0
1343,7048967.0
1344,7083470.0
1345,7118075.0
1346,7164415.0
1347,7204894.0
1348,7238775.0
1349,7268041.0
1350,7297073.0
1351,7329350.0
1352,7373304.0
1353,7412641.0
1354,7449788.0
1355,7481020.0
1356,7508813.0
1357,7557090.0
1358,7586892.0
1359,7622975.0
1360,7661551.0
1361,7695565.0
1362,7724841.0
1363,7746238.0
1364,7767690.0
1365,7790398.0
